Initial Position: 71.00, 19.16 | Previous Position: 71.00, 18.56 | Current Position: 71.00, 17.96]
Initial Position: 71.00, 19.16 | Previous Position: 71.00, 18.56 | Current Position: 71.00, 17.96]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.00, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.00, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.00, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.00, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.00, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.00, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.00, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.00, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.00, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.00, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.00, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.00, 50.00 | Current Position: 50.50, 50.00]
Initial Position: 50.00, 50.00 | Previous Position: 50.50, 50.00 | Current Position: 50.67, 50.00]
Initial Position: 50.50, 50.00 | Previous Position: 50.67, 50.00 | Current Position: 51.06, 50.00]
Initial Position: 50.67, 50.00 | Previous Position: 51.06, 50.00 | Current Position: 51.30, 50.00]
Initial Position: 51.06, 50.00 | Previous Position: 51.30, 50.00 | Current Position: 51.64, 50.00]
Initial Position: 51.30, 50.00 | Previous Position: 51.64, 50.00 | Current Position: 51.91, 50.00]
Initial Position: 51.64, 50.00 | Previous Position: 51.91, 50.00 | Current Position: 52.23, 50.00]
Initial Position: 51.91, 50.00 | Previous Position: 52.23, 50.00 | Current Position: 52.52, 50.00]
Initial Position: 52.23, 50.00 | Previous Position: 52.52, 50.00 | Current Position: 52.82, 50.00]
Initial Position: 52.52, 50.00 | Previous Position: 52.82, 50.00 | Current Position: 53.12, 50.00]
Initial Position: 52.82, 50.00 | Previous Position: 53.12, 50.00 | Current Position: 53.42, 50.00]
Initial Position: 53.12, 50.00 | Previous Position: 53.42, 50.00 | Current Position: 53.72, 50.00]
Initial Position: 53.42, 50.00 | Previous Position: 53.72, 50.00 | Current Position: 54.02, 50.00]
Initial Position: 53.72, 50.00 | Previous Position: 54.02, 50.00 | Current Position: 54.32, 50.00]
Initial Position: 54.02, 50.00 | Previous Position: 54.32, 50.00 | Current Position: 54.62, 50.00]
Initial Position: 54.32, 50.00 | Previous Position: 54.62, 50.00 | Current Position: 54.92, 50.00]
Initial Position: 54.62, 50.00 | Previous Position: 54.92, 50.00 | Current Position: 55.22, 50.00]
Initial Position: 54.92, 50.00 | Previous Position: 55.22, 50.00 | Current Position: 55.52, 50.00]
Initial Position: 55.22, 50.00 | Previous Position: 55.52, 50.00 | Current Position: 55.82, 50.00]
Initial Position: 55.52, 50.00 | Previous Position: 55.82, 50.00 | Current Position: 56.12, 50.00]
Initial Position: 55.82, 50.00 | Previous Position: 56.12, 50.00 | Current Position: 56.42, 50.00]
Initial Position: 56.12, 50.00 | Previous Position: 56.42, 50.00 | Current Position: 56.72, 50.00]
Initial Position: 56.42, 50.00 | Previous Position: 56.72, 50.00 | Current Position: 57.02, 50.00]
